run_idx,start_idx,end_idx,skip_range,search_skip_layers,total_skip_layers,l2_mean,l2_max,l2_std,value_diff_mean,value_diff_max,bin_idx_dist_mean,bin_idx_dist_max,bin_idx_dist_std,anomalies,has_nan,has_inf,has_extremes,always_exclude_layers,always_include_layers
113,6,16,6-16,11,11,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
114,6,18,6-18,13,13,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
115,6,19,6-19,14,14,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
116,7,30,7-30,24,24,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
117,8,17,8-17,10,10,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
118,9,20,9-20,12,12,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
119,13,30,13-30,18,18,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
120,14,30,14-30,17,17,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
121,15,30,15-30,16,16,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
122,16,30,16-30,15,15,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
123,17,30,17-30,14,14,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
124,18,26,18-26,9,9,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
